ticker,name,market,sector,market_cap,total_score,grade,growth_score,sector_score,momentum_score,value_score,d_eps_growth,d_revenue_cagr,d_operating_margin,d_sector_flow,d_analyst_reports,d_news_multiplier,d_volume_multiplier,d_week52_position,d_institutional_buying,d_forward_peg,d_pbr_ratio,raw_eps_growth_pct,raw_revenue_cagr_pct,raw_operating_margin_trend,raw_volume_multiplier,raw_week52_position_pct,raw_institutional_buying,raw_pbr_vs_sector,raw_forward_peg,raw_sector_flow,raw_analyst_count,raw_news_multiplier,last_updated
036540,SFA반도체,"market    KOSDAQ
market       KSQ
Name: 236, dtype: object",,17350.5619665,11,제외,0,0,11,0,0,0,0,0,0,0,6,5,0,0,0,,,,6.67,91.15,,,,,0,,2026-09-21 13:33:07
340810,시선AI,"market    KOSDAQ
market       KSQ
Name: 1721, dtype: object",,648.650913,11,제외,0,0,11,0,0,0,0,0,0,0,6,5,0,0,0,,,,6.71,90.39,,,,,0,,2026-09-21 14:01:51
105560,KB금융,"market    KOSPI
market      STK
Name: 8, dtype: object",,629570.72785,10,제외,0,5,5,0,0,0,0,0,0,5,0,5,0,0,0,,,,0.59,91.47,,,,,0,3.0,2026-09-21 13:28:46
437730,삼현,"market    KOSDAQ
market       KSQ
Name: 233, dtype: object",,17661.114819,10,제외,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,,,,10.38,72.3,,,,,0,,2026-09-21 13:33:03
475830,오름테라퓨틱,"market    KOSDAQ
market       KSQ
Name: 440, dtype: object",,5938.546068,10,제외,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,,,,50.26,18.11,,,,,0,,2026-09-21 13:37:03
425040,티이엠씨,"market    KOSDAQ
market       KSQ
Name: 723, dtype: object",,2810.5155236,10,제외,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,,,,55.41,42.77,,,,,0,,2026-09-21 13:42:29
240550,동방메디컬,"market    KOSDAQ
market       KSQ
Name: 1160, dtype: object",,1335.585372,10,제외,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,,,,80.3,55.33,,,,,0,,2026-09-21 13:51:02
001520,동양,"market    KOSPI
market      STK
Name: 1187, dtype: object",,1294.03414656,10,제외,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,,,,30.18,45.19,,,,,0,,2026-09-21 13:51:41
402490,그린리소스,"market    KOSDAQ
market       KSQ
Name: 1193, dtype: object",,1281.9959269,10,제외,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,,,,13.67,30.62,,,,,0,,2026-09-21 13:51:49
099750,이지케어텍,"market    KOSDAQ
market       KSQ
Name: 1330, dtype: object",,1059.9518248,10,제외,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,,,,92.77,64.94,,,,,0,,2026-09-21 13:54:23
0007J0,인벤테라,"market    KOSDAQ
market       KSQ
Name: 1426, dtype: object",,913.2093954,10,제외,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,,,,10.4,19.88,,,,,0,,2026-09-21 13:56:13
086960,MDS테크,"market    KOSDAQ
market       KSQ
Name: 1436, dtype: object",,901.607804,10,제외,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,,,,69.22,46.99,,,,,0,,2026-09-21 13:56:22
023900,풍국주정,"market    KOSDAQ
market       KSQ
Name: 1439, dtype: object",,900.9,10,제외,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,,,,13.54,53.73,,,,,0,,2026-09-21 13:56:27
223250,드림씨아이에스,"market    KOSDAQ
market       KSQ
Name: 1444, dtype: object",,892.9961172,10,제외,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,,,,95.2,42.19,,,,,0,,2026-09-21 13:56:33
380550,뉴로핏,"market    KOSDAQ
market       KSQ
Name: 1447, dtype: object",,890.517218,10,제외,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,,,,35.43,19.56,,,,,0,,2026-09-21 13:56:35
097800,윈팩,"market    KOSDAQ
market       KSQ
Name: 1679, dtype: object",,682.251125,10,제외,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,,,,10.29,65.87,,,,,0,,2026-09-21 14:01:02
241790,티이엠씨씨엔에스,"market    KOSDAQ
market       KSQ
Name: 1736, dtype: object",,638.1680492,10,제외,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,,,,21.03,64.9,,,,,0,,2026-09-21 14:02:07
054930,유신,"market    KOSDAQ
market       KSQ
Name: 1829, dtype: object",,565.8,10,제외,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,,,,23.01,63.84,,,,,0,,2026-09-21 14:03:51
348080,큐라티스,"market    KOSDAQ
market       KSQ
Name: 1830, dtype: object",,564.421132,10,제외,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,,,,10.22,32.91,,,,,0,,2026-09-21 14:03:54
317830,에스피시스템스,"market    KOSDAQ
market       KSQ
Name: 1906, dtype: object",,512.2950459,10,제외,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,,,,14.7,28.55,,,,,0,,2026-09-21 14:05:19
204270,제이앤티씨,"market    KOSDAQ
market       KSQ
Name: 260, dtype: object",,14577.813432,9,제외,0,0,9,0,0,0,0,0,0,0,4,5,0,0,0,,,,3.72,84.05,,,,,0,,2026-09-21 13:33:35
003160,디아이,"market    KOSPI
market      STK
Name: 308, dtype: object",,10018.2,9,제외,0,0,9,0,0,0,0,0,0,0,4,5,0,0,0,,,,3.81,85.13,,,,,0,,2026-09-21 13:34:30
144960,뉴파워프라즈마,"market    KOSDAQ
market       KSQ
Name: 473, dtype: object",,5243.11488,9,제외,0,0,9,0,0,0,0,0,0,0,4,5,0,0,0,,,,4.17,89.38,,,,,0,,2026-09-21 13:37:40
068930,디지털대성,"market    KOSDAQ
market       KSQ
Name: 796, dtype: object",,2418.8248908,9,제외,0,0,9,0,0,0,0,0,0,0,4,5,0,0,0,,,,3.98,94.4,,,,,0,,2026-09-21 13:43:53
086670,비엠티,"market    KOSDAQ
market       KSQ
Name: 959, dtype: object",,1836.288725,9,제외,0,0,9,0,0,0,0,0,0,0,4,5,0,0,0,,,,3.33,83.87,,,,,0,,2026-09-21 13:47:12
265740,엔에프씨,"market    KOSDAQ
market       KSQ
Name: 1125, dtype: object",,1409.43804,9,제외,0,0,9,0,0,0,0,0,0,0,4,5,0,0,0,,,,3.06,80.0,,,,,0,,2026-09-21 13:50:22
040420,정상제이엘에스,"market    KOSDAQ
market       KSQ
Name: 1430, dtype: object",,910.8657712,9,제외,0,0,9,0,0,0,0,0,0,0,4,5,0,0,0,,,,3.08,84.82,,,,,0,,2026-09-21 13:56:15
037760,쎄니트,"market    KOSDAQ
market       KSQ
Name: 1525, dtype: object",,798.4569356,9,제외,0,0,9,0,0,0,0,0,0,0,4,5,0,0,0,,,,3.15,93.93,,,,,0,,2026-09-21 13:58:05
067630,HLB생명과학,"market    KOSDAQ
market       KSQ
Name: 659, dtype: object",,3261.2813015,8,제외,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,,,,7.92,50.19,,,,,0,,2026-09-21 13:41:12
094360,칩스앤미디어,"market    KOSDAQ
market       KSQ
Name: 775, dtype: object",,2556.2262978,8,제외,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,,,,7.23,56.5,,,,,0,,2026-09-21 13:43:27
047920,HLB제약,"market    KOSDAQ
market       KSQ
Name: 783, dtype: object",,2509.150734,8,제외,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,,,,9.76,35.95,,,,,0,,2026-09-21 13:43:38
254490,미래반도체,"market    KOSDAQ
market       KSQ
Name: 812, dtype: object",,2343.2874,8,제외,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,,,,9.34,34.27,,,,,0,,2026-09-21 13:44:13
493280,아이엠바이오로직스,"market    KOSDAQ
market       KSQ
Name: 890, dtype: object",,2062.280311,8,제외,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,,,,7.61,13.33,,,,,0,,2026-09-21 13:45:42
226590,엠디바이스,"market    KOSDAQ
market       KSQ
Name: 1060, dtype: object",,1575.367248,8,제외,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,,,,7.83,38.66,,,,,0,,2026-09-21 13:49:09
051980,중앙첨단소재,"market    KOSDAQ
market       KSQ
Name: 1273, dtype: object",,1149.79918815,8,제외,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,,,,8.42,23.77,,,,,0,,2026-09-21 13:53:19
205100,엑셈,"market    KOSDAQ
market       KSQ
Name: 1397, dtype: object",,959.0591108,8,제외,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,,,,8.08,55.02,,,,,0,,2026-09-21 13:55:39
071090,하이스틸,"market    KOSPI
market      STK
Name: 1706, dtype: object",,660.2611017,8,제외,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,,,,7.82,56.95,,,,,0,,2026-09-21 14:01:31
460870,에스엠씨지,"market    KOSDAQ
market       KSQ
Name: 1776, dtype: object",,606.2137808,8,제외,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,,,,8.08,44.32,,,,,0,,2026-09-21 14:02:52
003465,유화증권우,"market    KOSPI
market      STK
Name: 1895, dtype: object",,517.30218,8,제외,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,,,,9.28,74.0,,,,,0,,2026-09-21 14:05:06
192650,드림텍,"market    KOSPI
market      STK
Name: 460, dtype: object",,5402.719978,7,제외,0,0,7,0,0,0,0,0,0,0,2,5,0,0,0,,,,2.45,89.25,,,,,0,,2026-09-21 13:37:25
093520,매커스,"market    KOSDAQ
market       KSQ
Name: 657, dtype: object",,3284.907012,7,제외,0,0,7,0,0,0,0,0,0,0,2,5,0,0,0,,,,2.31,82.13,,,,,0,,2026-09-21 13:41:12
000700,유수홀딩스,"market    KOSPI
market      STK
Name: 990, dtype: object",,1744.801404,7,제외,0,0,7,0,0,0,0,0,0,0,2,5,0,0,0,,,,2.32,91.94,,,,,0,,2026-09-21 13:47:47
